2026-07-08 17:31:21.851 +05:00 [INF] Starting Portfolio API
2026-07-08 17:31:22.213 +05:00 [WRN] Failed to determine the https port for redirect.
2026-07-08 17:31:23.741 +05:00 [INF] HTTP GET /api/experience/paged responded 401 in 1535.3233 ms
2026-07-08 17:31:23.741 +05:00 [INF] HTTP GET /api/certifications/paged responded 401 in 1509.1589 ms
2026-07-08 17:31:23.741 +05:00 [INF] HTTP GET /api/skills/paged responded 401 in 1535.3583 ms
2026-07-08 17:31:23.741 +05:00 [INF] HTTP GET /api/projects/paged responded 401 in 1535.3281 ms
2026-07-08 17:31:29.071 +05:00 [INF] HTTP GET /api/experience/paged responded 401 in 2.7387 ms
2026-07-08 17:31:31.072 +05:00 [INF] HTTP POST /api/auth/login responded 200 in 4119.9801 ms
2026-07-08 17:31:31.262 +05:00 [INF] HTTP GET /api/certifications/paged responded 200 in 130.6922 ms
2026-07-08 17:31:31.405 +05:00 [INF] HTTP GET /api/skills/paged responded 200 in 274.0296 ms
2026-07-08 17:31:31.434 +05:00 [INF] HTTP GET /api/projects/paged responded 200 in 302.9719 ms
2026-07-08 17:31:31.612 +05:00 [INF] HTTP GET /api/experience/paged responded 200 in 481.6954 ms
2026-07-08 17:31:31.733 +05:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 2.1714 ms
2026-07-08 17:31:31.922 +05:00 [INF] HTTP POST /api/auth/login responded 200 in 185.3130 ms
2026-07-08 17:31:31.957 +05:00 [INF] HTTP OPTIONS /api/experience/paged responded 204 in 0.0702 ms
2026-07-08 17:31:31.959 +05:00 [INF] HTTP OPTIONS /api/projects/paged responded 204 in 0.0635 ms
2026-07-08 17:31:31.962 +05:00 [INF] HTTP OPTIONS /api/skills/paged responded 204 in 0.1430 ms
2026-07-08 17:31:31.962 +05:00 [INF] HTTP OPTIONS /api/certifications/paged responded 204 in 0.0523 ms
2026-07-08 17:31:31.979 +05:00 [INF] HTTP GET /api/experience/paged responded 200 in 8.9999 ms
2026-07-08 17:31:31.979 +05:00 [INF] HTTP GET /api/projects/paged responded 200 in 7.2319 ms
2026-07-08 17:31:31.988 +05:00 [INF] HTTP GET /api/skills/paged responded 200 in 4.7654 ms
2026-07-08 17:31:31.989 +05:00 [INF] HTTP GET /api/certifications/paged responded 200 in 5.0145 ms
2026-07-08 17:31:41.005 +05:00 [INF] HTTP OPTIONS /api/experience/paged responded 204 in 0.0627 ms
2026-07-08 17:31:41.027 +05:00 [INF] HTTP GET /api/experience/paged responded 200 in 10.7816 ms
2026-07-08 17:31:43.012 +05:00 [INF] HTTP GET /api/experience/paged responded 200 in 4.4155 ms
2026-07-08 17:31:43.021 +05:00 [INF] HTTP OPTIONS /api/experience/3 responded 204 in 0.0724 ms
2026-07-08 17:31:43.085 +05:00 [INF] HTTP GET /api/experience/3 responded 200 in 61.5839 ms
2026-07-08 17:31:45.803 +05:00 [INF] HTTP OPTIONS /api/projects/paged responded 204 in 0.0569 ms
2026-07-08 17:31:45.816 +05:00 [INF] HTTP GET /api/projects/paged responded 200 in 8.2754 ms
