2026-07-06 15:04:32.661 +05:00 [INF] Starting Portfolio API
2026-07-06 15:11:02.807 +05:00 [WRN] Failed to determine the https port for redirect.
2026-07-06 15:11:04.328 +05:00 [INF] HTTP GET / responded 404 in 1526.1576 ms
2026-07-06 15:11:12.422 +05:00 [INF] HTTP GET /swaager/index.html responded 404 in 1.3064 ms
2026-07-06 15:11:35.058 +05:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 3.4557 ms
2026-07-06 15:11:51.547 +05:00 [INF] HTTP POST /api/auth/login responded 400 in 3648.8508 ms
2026-07-06 15:11:51.547 +05:00 [INF] HTTP POST /api/auth/login responded 400 in 16481.7711 ms
2026-07-06 15:11:51.631 +05:00 [INF] HTTP POST /api/auth/login responded 400 in 5.2387 ms
2026-07-06 15:11:51.857 +05:00 [INF] HTTP GET /api/experience/paged responded 401 in 6.5292 ms
2026-07-06 15:11:52.385 +05:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.0869 ms
2026-07-06 15:11:52.475 +05:00 [INF] HTTP GET /api/experience/paged responded 401 in 1.4966 ms
2026-07-06 15:11:52.477 +05:00 [INF] HTTP GET /api/projects/paged responded 401 in 1.5509 ms
2026-07-06 15:11:52.477 +05:00 [INF] HTTP GET /api/certifications/paged responded 401 in 0.1173 ms
2026-07-06 15:11:52.477 +05:00 [INF] HTTP GET /api/skills/paged responded 401 in 0.1366 ms
2026-07-06 15:13:18.016 +05:00 [INF] HTTP POST /api/auth/login responded 400 in 15014.1037 ms
2026-07-06 16:48:57.145 +05:00 [INF] HTTP POST /api/auth/login responded 400 in 15026.4938 ms
2026-07-06 17:23:29.393 +05:00 [INF] Starting Portfolio API
2026-07-06 17:23:51.784 +05:00 [WRN] Failed to determine the https port for redirect.
2026-07-06 17:24:07.109 +05:00 [INF] HTTP POST /api/auth/login responded 400 in 15343.6415 ms
2026-07-06 17:24:15.705 +05:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 2.0641 ms
2026-07-06 17:24:30.734 +05:00 [INF] HTTP POST /api/auth/login responded 400 in 15021.4638 ms
2026-07-06 17:25:02.707 +05:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.1875 ms
2026-07-06 17:25:17.737 +05:00 [INF] HTTP POST /api/auth/login responded 400 in 15020.5515 ms
2026-07-06 17:31:44.699 +05:00 [INF] Starting Portfolio API
2026-07-06 17:32:07.661 +05:00 [WRN] Failed to determine the https port for redirect.
2026-07-06 17:32:09.134 +05:00 [INF] HTTP POST /api/auth/login responded 200 in 1477.1975 ms
2026-07-06 17:32:18.708 +05:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 1.4842 ms
2026-07-06 17:32:19.054 +05:00 [INF] HTTP POST /api/auth/login responded 200 in 339.4703 ms
2026-07-06 17:32:20.966 +05:00 [INF] HTTP OPTIONS /api/experience/paged responded 204 in 0.0730 ms
2026-07-06 17:32:21.117 +05:00 [INF] HTTP GET /api/experience/paged responded 200 in 138.8720 ms
2026-07-06 17:32:38.203 +05:00 [INF] HTTP OPTIONS /api/projects/paged responded 204 in 0.0873 ms
2026-07-06 17:32:38.280 +05:00 [INF] HTTP GET /api/projects/paged responded 200 in 69.4049 ms
2026-07-06 17:32:39.046 +05:00 [INF] HTTP OPTIONS /api/education/paged responded 204 in 0.0603 ms
2026-07-06 17:32:39.124 +05:00 [INF] HTTP GET /api/education/paged responded 200 in 67.4592 ms
2026-07-06 17:32:39.872 +05:00 [INF] HTTP OPTIONS /api/skills/paged responded 204 in 0.0562 ms
2026-07-06 17:32:39.916 +05:00 [INF] HTTP GET /api/skills/paged responded 200 in 33.4659 ms
2026-07-06 17:32:40.615 +05:00 [INF] HTTP OPTIONS /api/awards/paged responded 204 in 0.0853 ms
2026-07-06 17:32:40.665 +05:00 [INF] HTTP GET /api/awards/paged responded 200 in 30.1590 ms
2026-07-06 17:32:41.116 +05:00 [INF] HTTP OPTIONS /api/certifications/paged responded 204 in 0.0647 ms
2026-07-06 17:32:41.175 +05:00 [INF] HTTP GET /api/certifications/paged responded 200 in 45.0836 ms
2026-07-06 17:32:41.567 +05:00 [INF] HTTP OPTIONS /api/documents/paged responded 204 in 0.0730 ms
2026-07-06 17:32:41.620 +05:00 [INF] HTTP GET /api/documents/paged responded 200 in 46.7413 ms
2026-07-06 17:32:41.993 +05:00 [INF] HTTP OPTIONS /api/testimonials/paged responded 204 in 0.1221 ms
